LSID,Species Name,Taxon Concept,Taxon Rank,Kingdom,Phylum,Class,Order,Family,Genus,Vernacular Name,Number of records,Invasive
"Leptogium saturninum|NBNSYS0000018787||Fungi|Collemataceae","Leptogium saturninum","(Dicks.) Nyl.",,"SPECIES","Fungi","Ascomycota","Lecanoromycetes","Peltigerales","Collemataceae","Leptogium","Leptogium saturninum",,"1",""
"Lepus europaeus|NHMSYS0000080218|Brown Hare|Animalia|Leporidae","Lepus europaeus","Pallas, 1778",,"SPECIES","Animalia","Chordata","Mammalia","Lagomorpha","Leporidae","Lepus","Lepus europaeus",,"6","The Wildlife (Northern Ireland) Order 1985 – Schedule 9|Non-native species of interest to Northern Ireland"
"Lepus timidus|NBNSYS0000005106|Mountain Hare|Animalia|Leporidae","Lepus timidus","Linnaeus, 1758",,"SPECIES","Animalia","Chordata","Mammalia","Lagomorpha","Leporidae","Lepus","Lepus timidus",,"1",""
"Linnaea borealis|NBNSYS0000004330|Twinflower|Plantae|Caprifoliaceae","Linnaea borealis","L.",,"SPECIES","Plantae","Tracheophyta","Magnoliopsida","Dipsacales","Caprifoliaceae","Linnaea","Linnaea borealis",,"1",""
"Lithothamnion corallioides|NHMSYS0021059581|Coral Maërl|Plantae|Hapalidiaceae","Lithothamnion corallioides","(P.L.Crouan & H.M.Crouan) P.L.Crouan & H.M.Crouan, 1867",,"SPECIES","Plantae","Rhodophyta","Florideophyceae","Corallinales","Hapalidiaceae","Lithothamnion","Lithothamnion corallioides",,"1",""
"Locustella naevia|NHMSYS0000530444|Grasshopper Warbler|Animalia|Locustellidae","Locustella naevia","(Boddaert, 1783)",,"SPECIES","Animalia","Chordata","Aves","Passeriformes","Locustellidae","Locustella","Locustella naevia",,"2",""
"Lophozia ventricosa|NHMSYS0000309930|Tumid Notchwort|Plantae|Scapaniaceae","Lophozia ventricosa","(Dicks.) Dumort.",,"SPECIES","Plantae","Marchantiophyta","Jungermanniopsida","Jungermanniales","Scapaniaceae","Lophozia","Lophozia ventricosa",,"13",""
"Lutra lutra|NBNSYS0000005133|Otter|Animalia|Mustelidae","Lutra lutra","(Linnaeus, 1758)",,"SPECIES","Animalia","Chordata","Mammalia","Carnivora","Mustelidae","Lutra","Lutra lutra",,"24",""
"Lycopodiella inundata|NBNSYS0000002001|Marsh Clubmoss|Plantae|Lycopodiaceae","Lycopodiella inundata","(L.) Holub",,"SPECIES","Plantae","Tracheophyta","Lycopodiopsida","Lycopodiales","Lycopodiaceae","Lycopodiella","Lycopodiella inundata",,"9",""
"Melanitta nigra|NBNSYS0000000196|Common Scoter|Animalia|Anatidae","Melanitta nigra","(Linnaeus, 1758)",,"SPECIES","Animalia","Chordata","Aves","Anseriformes","Anatidae","Melanitta","Melanitta nigra",,"1",""
"Meloe violaceus|NBNSYS0000024952|Violet Oil-beetle|Animalia|Meloidae","Meloe violaceus","Marsham, 1802",,"SPECIES","Animalia","Arthropoda","Insecta","Coleoptera","Meloidae","Meloe","Meloe violaceus",,"2",""
"Muscicapa striata|NHMSYS0000530498|Spotted Flycatcher|Animalia|Muscicapidae","Muscicapa striata","(Pallas, 1764)",,"SPECIES","Animalia","Chordata","Aves","Passeriformes","Muscicapidae","Muscicapa","Muscicapa striata",,"84",""
"Mustela putorius|NBNSYS0000005129|Polecat|Animalia|Mustelidae","Mustela putorius","Linnaeus, 1758",,"SPECIES","Animalia","Chordata","Mammalia","Carnivora","Mustelidae","Mustela","Mustela putorius",,"1",""
"Natrix helvetica|NHMSYS0021178937|Grass Snake|Animalia|Colubridae","Natrix helvetica","(Lacépède, 1789)",,"SPECIES","Animalia","Chordata","Reptilia","Squamata","Colubridae","Natrix","Natrix helvetica",,"1",""
"Numenius arquata|NBNSYS0000000032|Curlew|Animalia|Scolopacidae","Numenius arquata","(Linnaeus, 1758)",,"SPECIES","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Numenius","Numenius arquata",,"322",""
"Passer domesticus|NHMSYS0000530537|House Sparrow|Animalia|Passeridae","Passer domesticus","(Linnaeus, 1758)",,"SPECIES","Animalia","Chordata","Aves","Passeriformes","Passeridae","Passer","Passer domesticus",,"192",""
"Passer montanus|NHMSYS0000530539|Tree Sparrow|Animalia|Passeridae","Passer montanus","(Linnaeus, 1758)",,"SPECIES","Animalia","Chordata","Aves","Passeriformes","Passeridae","Passer","Passer montanus",,"2",""
"Phoca vitulina|NBNSYS0000005135|Harbour Seal|Animalia|Phocidae","Phoca vitulina","Linnaeus, 1758",,"SPECIES","Animalia","Chordata","Mammalia","Carnivora","Phocidae","Phoca","Phoca vitulina",,"20",""
"Phocoena phocoena|NBNSYS0000005172|Common Porpoise|Animalia|Phocoenidae","Phocoena phocoena","(Linnaeus, 1758)",,"SPECIES","Animalia","Chordata","Mammalia","Cetartiodactyla","Phocoenidae","Phocoena","Phocoena phocoena",,"10",""
"Phylloscopus sibilatrix|NHMSYS0000530757|Wood Warbler|Animalia|Phylloscopidae","Phylloscopus sibilatrix","(Bechstein, 1793)",,"SPECIES","Animalia","Chordata","Aves","Passeriformes","Phylloscopidae","Phylloscopus","Phylloscopus sibilatrix",,"9",""
"Phymatolithon calcareum|NHMSYS0021059601|Common Maërl|Plantae|Hapalidiaceae","Phymatolithon calcareum","(Pallas) W.H.Adey & D.L.McKibbin, 1970",,"SPECIES","Plantae","Rhodophyta","Florideophyceae","Corallinales","Hapalidiaceae","Phymatolithon","Phymatolithon calcareum",,"4",""
"Pipistrellus pygmaeus|NBNSYS0100004720|Soprano Pipistrelle|Animalia|Vespertilionidae","Pipistrellus pygmaeus","(Leach, 1825)",,"SPECIES","Animalia","Chordata","Mammalia","Chiroptera","Vespertilionidae","Pipistrellus","Pipistrellus pygmaeus",,"217",""
"Plecotus auritus|NBNSYS0000005102|Brown Long-eared Bat|Animalia|Vespertilionidae","Plecotus auritus","(Linnaeus, 1758)",,"SPECIES","Animalia","Chordata","Mammalia","Chiroptera","Vespertilionidae","Plecotus","Plecotus auritus",,"26",""
"Pseudorchis albida|NHMSYS0000462098|Small-white Orchid|Plantae|Orchidaceae","Pseudorchis albida","(L.) Á. Löve & D. Löve",,"SPECIES","Plantae","Tracheophyta","Magnoliopsida","Asparagales","Orchidaceae","Pseudorchis","Pseudorchis albida",,"2",""
"Rheumaptera hastata|NBNSYS0000005867|Argent & Sable|Animalia|Geometridae","Rheumaptera hastata","(Linnaeus, 1758)",,"SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Rheumaptera","Rheumaptera hastata",,"3",""
"Salmo salar|NBNSYS0000188606|Atlantic Salmon|Animalia|Salmonidae","Salmo salar","Linnaeus, 1758",,"SPECIES","Animalia","Chordata","Actinopterygii","Salmoniformes","Salmonidae","Salmo","Salmo salar",,"9",""
"Salmo trutta|NBNSYS0000188607|Brown/Sea Trout|Animalia|Salmonidae","Salmo trutta","Linnaeus, 1758",,"SPECIES","Animalia","Chordata","Actinopterygii","Salmoniformes","Salmonidae","Salmo","Salmo trutta",,"19",""
"Sciurus vulgaris|NBNSYS0000005108|Red Squirrel|Animalia|Sciuridae","Sciurus vulgaris","Linnaeus, 1758",,"SPECIES","Animalia","Chordata","Mammalia","Rodentia","Sciuridae","Sciurus","Sciurus vulgaris",,"134",""
"Scleranthus annuus|NBNSYS0000004587|Annual Knawel|Plantae|Caryophyllaceae","Scleranthus annuus","L.",,"SPECIES","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae","Scleranthus","Scleranthus annuus",,"2",""
"Sorbus arranensis|NHMSYS0000463796|Arran Whitebeam|Plantae|Rosaceae","Sorbus arranensis","Hedl.",,"SPECIES","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Sorbus","Sorbus arranensis",,"880",""
"Sorbus pseudofennica|NHMSYS0000463814|Arran Service-tree|Plantae|Rosaceae","Sorbus pseudofennica","E.F. Warb.",,"SPECIES","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Sorbus","Sorbus pseudofennica",,"716",""
"Spilosoma lubricipeda|NBNSYS0000006146|White Ermine|Animalia|Erebidae","Spilosoma lubricipeda","(Linnaeus, 1758)",,"SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Spilosoma","Spilosoma lubricipeda",,"2",""
"Spilosoma lutea|NHMSYS0021144388|Buff Ermine|Animalia|Erebidae","Spilosoma lutea","(Hufnagel, 1766)",,"SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Spilosoma","Spilosoma lutea",,"4",""
"Stercorarius parasiticus|NBNSYS0000000341|Arctic Skua|Animalia|Stercorariidae","Stercorarius parasiticus","(Linnaeus, 1758)",,"SPECIES","Animalia","Chordata","Aves","Charadriiformes","Stercorariidae","Stercorarius","Stercorarius parasiticus",,"1",""
